,Suffolk,Norfolk,Middlesex,Berkshire,Worcester,Essex,Barnstable,Bristol,Hampden,Plymouth,Unknown,Franklin,Hampshire,Nantucket,Dukes
2020-02-01,1,,,,,,,,,,,,,,
2020-02-02,1,,,,,,,,,,,,,,
2020-02-03,1,,,,,,,,,,,,,,
2020-02-04,1,,,,,,,,,,,,,,
2020-02-05,1,,,,,,,,,,,,,,
2020-02-06,1,,,,,,,,,,,,,,
2020-02-07,1,,,,,,,,,,,,,,
2020-02-08,1,,,,,,,,,,,,,,
2020-02-09,1,,,,,,,,,,,,,,
2020-02-10,1,,,,,,,,,,,,,,
2020-02-11,1,,,,,,,,,,,,,,
2020-02-12,1,,,,,,,,,,,,,,
2020-02-13,1,,,,,,,,,,,,,,
2020-02-14,1,,,,,,,,,,,,,,
2020-02-15,1,,,,,,,,,,,,,,
2020-02-16,1,,,,,,,,,,,,,,
2020-02-17,1,,,,,,,,,,,,,,
2020-02-18,1,,,,,,,,,,,,,,
2020-02-19,1,,,,,,,,,,,,,,
2020-02-20,1,,,,,,,,,,,,,,
2020-02-21,1,,,,,,,,,,,,,,
2020-02-22,1,,,,,,,,,,,,,,
2020-02-23,1,,,,,,,,,,,,,,
2020-02-24,1,,,,,,,,,,,,,,
2020-02-25,1,,,,,,,,,,,,,,
2020-02-26,1,,,,,,,,,,,,,,
2020-02-27,1,,,,,,,,,,,,,,
2020-02-28,1,,,,,,,,,,,,,,
2020-02-29,1,,,,,,,,,,,,,,
2020-03-01,1,,,,,,,,,,,,,,
2020-03-02,1,1,,,,,,,,,,,,,
2020-03-03,1,1,,,,,,,,,,,,,
2020-03-04,1,1,,,,,,,,,,,,,
2020-03-05,1,1,1,,,,,,,,,,,,
2020-03-06,4,3,1,,,,,,,,,,,,
2020-03-07,4,3,5,1,,,,,,,,,,,
2020-03-08,9,7,10,1,1,,,,,,,,,,
2020-03-09,10,10,15,5,1,,,,,,,,,,
2020-03-10,20,22,41,7,1,1,,,,,,,,,
