,Williamson,Davidson,Shelby,Sullivan,Knox,Hamilton,Jefferson,Rutherford,Campbell,Sevier,Cheatham,Robertson,Sumner,Cumberland,Dyer,Montgomery,Unknown,Washington,Wilson,Anderson,Blount,Bradley,Dickson,Greene,Hamblen,Maury,Tipton,Carroll,Cocke,Fayette,Monroe,Putnam,Roane,Scott,Chester,Franklin,Gibson,Houston,Loudon,Marion,McMinn,Perry,Claiborne,DeKalb,Grundy,Hardin,Lincoln,Madison,Overton,Bedford,Hawkins,Lewis,White,Benton,Cannon,Macon,Meigs,Unicoi,Smith,Bledsoe,Carter,Hardeman,Johnson,Morgan,Trousdale,Union,Weakley,Coffee,Haywood,Henry,McNairy,Obion,Fentress,Giles,Lawrence,Marshall,Warren,Wayne,Humphreys,Clay,Grainger,Hickman,Lauderdale,Sequatchie,Jackson,Polk,Stewart,Henderson,Decatur,Lake,Van Buren,Moore,Rhea,Crockett,Pickett,Hancock
2020-03-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,8,6,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,9,10,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,10,14,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,14,17,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,18,25,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,21,42,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,24,58,4,1,2,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,35,75,22,1,2,1,1,1,1,1,1,2,3,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,35,110,42,1,3,5,1,1,1,1,2,2,11,2,1,3,2,2,3,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,47,140,42,1,4,7,1,5,2,2,2,2,11,2,2,3,8,2,3,1,1,1,3,1,2,1,2,1,1,1,3,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,48,167,66,1,5,8,2,8,2,3,4,3,22,2,2,3,28,2,3,1,1,2,4,2,2,2,5,2,1,3,3,6,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,48,184,66,1,5,8,2,8,2,3,4,3,22,2,2,3,109,2,3,1,1,2,4,2,2,2,5,2,1,3,3,6,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,64,253,135,2,15,8,4,13,2,3,5,12,34,3,2,6,34,7,7,1,3,2,5,5,2,6,6,3,1,3,3,8,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,66,257,170,2,20,15,4,19,2,3,7,15,36,3,2,6,78,7,10,3,3,3,5,7,2,7,6,3,1,3,3,9,1,2,1,1,2,3,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,70,293,198,4,26,28,4,27,2,3,7,20,43,6,3,6,110,9,13,3,4,5,7,8,2,7,8,3,1,3,3,11,1,2,2,3,2,2,6,2,3,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,91,312,223,6,31,30,5,39,4,6,7,22,58,6,3,9,171,10,20,4,6,6,9,8,2,7,10,4,1,3,3,13,1,2,2,3,2,2,6,2,3,2,2,3,1,1,1,3,1,1,2,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,95,376,275,6,33,35,5,46,4,6,7,23,82,6,3,11,161,14,20,5,9,5,11,8,2,8,11,4,1,4,3,17,1,2,2,3,2,2,6,4,3,2,2,3,2,1,1,3,2,1,2,2,1,3,3,2,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,101,394,362,8,38,35,5,48,4,6,8,25,93,9,3,13,190,14,27,6,9,8,11,9,2,8,15,5,1,10,3,17,2,2,2,6,3,2,8,5,3,2,2,3,2,1,1,3,2,1,2,2,1,3,2,3,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,111,443,396,11,52,40,5,57,4,7,8,27,164,11,3,13,101,14,32,9,10,9,12,12,2,11,16,5,1,10,3,24,2,2,3,5,5,1,8,6,3,2,2,4,2,1,1,5,2,1,4,2,1,3,2,3,1,1,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,
2020-03-31,111,541,396,11,66,48,6,57,4,7,10,27,164,11,3,19,259,14,32,10,25,10,17,12,2,15,16,5,1,12,5,24,2,2,3,5,6,1,8,6,3,2,2,4,4,1,1,5,2,2,4,2,1,4,3,4,1,1,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,3,2,1,1,1,2,,,,,,,,,,,,,,,,,
2020-04-01,148,673,496,17,78,50,6,86,4,9,11,35,201,14,3,27,442,21,45,10,28,14,18,15,3,17,22,5,1,14,5,31,2,3,3,7,6,1,8,8,3,2,2,5,6,2,2,7,2,4,5,2,2,4,3,4,1,1,3,2,1,4,2,1,5,1,1,1,2,1,1,2,1,3,2,1,1,1,2,1,3,1,1,1,,,,,,,,,,,,
2020-04-02,199,785,638,17,92,61,6,113,4,10,11,41,268,16,5,37,101,21,62,10,32,18,20,16,3,18,24,5,1,14,5,37,3,3,3,8,6,1,9,13,3,2,2,5,8,2,2,13,2,6,7,2,2,4,4,5,2,1,3,2,1,4,2,1,6,1,1,3,2,4,3,2,1,3,2,2,1,2,2,1,3,1,2,2,2,1,,,,,,,,,,
2020-04-03,221,808,640,18,98,67,6,127,4,13,11,51,283,22,5,41,52,20,71,10,33,21,21,16,3,20,28,6,1,17,5,81,3,3,5,12,7,1,12,14,3,2,2,5,11,2,4,17,2,6,8,2,2,4,4,7,2,1,3,2,3,5,2,2,7,1,1,3,2,4,3,2,1,3,3,4,1,2,3,1,3,1,2,2,3,2,,,,,,,,,,
2020-04-04,239,856,706,18,99,71,6,140,5,13,12,51,301,23,7,46,63,22,82,10,34,21,22,16,4,21,31,6,1,18,6,81,5,3,6,12,8,2,13,16,3,3,2,5,12,2,5,19,2,8,9,2,2,4,4,7,2,1,3,2,3,6,2,4,7,1,1,4,2,4,3,2,1,3,3,4,1,2,3,1,3,1,2,2,3,3,1,,,,,,,,,
2020-04-05,258,924,754,21,115,79,6,147,5,14,13,59,321,26,9,51,81,23,93,10,36,21,23,17,4,21,33,7,1,20,6,81,5,3,6,12,11,2,13,16,3,3,2,7,12,2,5,19,3,8,10,2,2,4,6,9,2,1,3,3,3,6,2,4,8,1,5,5,3,4,3,2,2,3,3,6,1,2,3,1,3,2,2,2,3,3,2,1,,,,,,,,
2020-04-06,260,1034,766,25,119,83,7,161,5,16,13,60,335,26,9,54,69,24,97,10,38,23,24,17,4,24,36,8,1,21,6,81,5,3,6,14,12,2,13,20,3,3,2,7,15,2,5,22,4,8,14,2,2,4,7,11,2,1,3,3,3,6,2,5,11,1,5,7,5,5,4,2,2,3,4,9,1,2,3,1,3,2,5,2,3,3,2,1,,,,,,,,
2020-04-07,278,1075,845,26,143,95,10,178,6,18,13,65,361,32,10,65,,27,113,11,41,25,27,18,4,26,38,8,2,21,6,81,5,4,7,14,13,2,15,21,3,3,2,7,16,2,6,43,4,10,16,2,2,4,7,12,2,1,3,3,3,6,2,5,14,1,5,7,6,6,5,3,2,3,6,9,2,2,4,1,3,2,5,1,3,3,2,2,,,,,,,,
2020-04-08,287,1140,912,27,148,95,12,193,6,19,13,67,376,33,11,72,,30,117,11,42,28,27,20,4,29,38,8,2,22,6,81,5,5,7,17,13,2,15,21,3,3,2,7,16,2,7,43,5,12,18,2,2,4,7,16,3,1,3,3,3,6,2,5,14,2,5,7,7,6,7,4,2,3,10,9,2,2,4,2,3,2,6,1,4,3,2,2,1,,,,,,,
2020-04-09,288,1140,1006,34,157,98,12,203,9,21,15,70,389,34,14,79,0,32,123,11,44,28,28,22,4,31,39,10,3,25,7,82,5,5,7,17,16,2,15,22,3,3,2,7,17,2,7,47,5,14,21,2,3,4,7,16,3,1,5,3,3,6,2,5,14,2,5,10,9,6,9,4,2,3,11,9,3,2,4,2,3,2,7,1,5,3,2,2,1,,,,,,,
2020-04-10,299,1224,1083,35,164,102,13,222,10,21,17,73,413,39,15,84,22,37,129,11,45,31,29,25,4,32,43,10,3,28,8,84,5,8,7,17,18,3,16,22,4,3,3,8,19,2,8,56,5,15,22,2,3,4,7,19,3,1,5,3,3,7,2,5,14,3,5,10,13,6,9,5,2,3,12,9,3,2,4,2,4,2,8,1,5,5,3,2,1,,,,,,,
2020-04-11,312,1256,1147,37,169,105,14,235,10,21,17,81,435,40,18,88,,37,135,12,46,31,30,26,4,32,44,10,3,30,8,85,5,8,6,22,19,3,16,24,4,3,3,9,21,2,8,56,5,17,22,2,3,4,7,25,3,1,7,3,3,7,2,5,17,3,5,11,13,6,9,7,2,3,12,9,4,2,4,2,4,2,8,1,5,4,4,2,1,,,,,,,
2020-04-12,312,1348,1216,37,169,105,14,235,10,21,17,81,435,40,18,88,,37,135,12,46,31,30,26,4,32,44,10,3,30,8,85,5,8,6,22,19,3,16,24,4,3,3,9,21,2,8,56,5,17,22,2,3,4,7,25,3,1,7,3,3,7,2,5,17,3,5,11,13,6,9,7,2,3,12,9,4,2,4,2,4,2,8,1,5,4,4,2,1,,,,,,,
2020-04-13,318,1385,1331,42,173,109,16,250,11,22,18,88,454,43,22,102,,42,143,15,46,32,30,27,6,33,50,12,5,36,8,87,5,9,6,21,20,3,16,26,5,4,4,10,23,2,9,68,5,23,24,2,4,4,7,26,3,1,10,8,3,7,2,5,20,3,6,11,12,8,9,8,2,3,13,9,4,2,4,4,4,2,9,3,7,5,4,2,3,4,1,,,,,
2020-04-14,322,1457,1359,43,174,110,16,253,12,22,19,92,466,51,22,101,,44,145,15,47,33,33,27,6,33,52,12,7,37,9,92,5,10,5,23,21,3,17,26,5,4,5,10,22,2,9,73,6,25,24,2,4,4,7,27,3,1,10,8,3,7,2,5,20,3,6,12,12,8,9,8,3,3,15,9,4,2,4,4,4,2,9,3,6,5,4,2,3,4,1,,,,,
2020-04-15,322,1492,1432,43,179,110,16,269,12,22,19,94,478,53,24,102,,45,155,16,47,33,37,28,7,33,53,13,8,39,9,93,6,11,6,23,24,4,18,27,5,5,5,10,24,4,9,75,7,33,26,2,4,4,7,29,3,1,11,8,4,7,2,5,20,3,6,13,12,8,9,8,3,4,15,9,4,2,4,5,4,2,12,3,6,5,4,2,3,4,1,1,,,,
2020-04-16,324,1560,1508,45,186,110,16,271,12,22,20,95,491,55,24,102,,46,161,15,46,35,39,29,7,33,54,13,11,42,9,93,7,11,6,23,25,4,19,27,6,6,5,10,25,4,9,73,7,40,26,2,4,4,8,30,3,1,11,7,5,7,2,5,20,3,6,17,12,8,9,8,4,5,15,12,4,2,4,5,4,2,12,3,6,5,4,2,3,4,1,1,,,,
2020-04-17,336,1597,1682,45,194,115,14,295,13,24,21,105,497,56,24,108,,46,171,15,46,38,42,30,7,34,55,13,11,44,10,94,8,11,6,23,27,4,21,28,6,6,5,10,25,4,9,83,7,48,27,2,4,4,9,31,3,1,12,8,5,7,2,5,20,3,6,18,12,9,9,9,4,5,15,13,4,2,4,5,4,2,13,3,6,5,5,2,5,4,1,1,1,,,
2020-04-18,342,1680,1730,45,194,116,15,302,13,24,22,105,503,57,25,113,,46,173,15,46,38,43,30,7,34,57,13,11,45,10,95,8,11,6,23,28,4,21,28,6,6,5,10,25,4,9,83,7,62,27,2,4,4,9,33,3,1,12,9,5,7,2,5,20,3,6,19,13,9,9,9,4,5,15,16,4,2,4,5,4,2,13,3,11,5,5,4,5,4,1,2,1,3,,
2020-04-19,348,1751,1778,45,194,116,15,309,13,24,22,113,509,57,28,119,,46,181,16,46,37,45,30,8,34,56,15,11,45,10,95,8,11,8,26,31,4,22,28,6,6,5,10,25,4,10,86,7,71,27,2,4,4,9,33,3,1,13,9,5,7,2,5,22,3,8,20,13,9,9,9,4,5,15,16,5,2,7,5,4,2,15,3,6,5,6,4,5,4,1,2,2,5,,
2020-04-20,358,1751,1839,45,193,118,16,328,14,26,22,116,518,58,28,122,,46,185,16,46,37,46,35,8,34,83,15,11,46,11,96,8,11,8,27,31,4,23,28,6,6,5,12,25,4,10,91,7,76,27,2,4,4,9,34,3,1,14,10,5,7,2,5,22,3,8,20,13,9,9,9,4,5,15,16,5,2,7,5,4,2,16,3,6,5,6,4,5,4,1,2,2,6,,
2020-04-21,359,1936,1873,45,196,124,16,338,14,29,22,117,530,59,28,124,,46,187,21,46,37,46,37,13,34,83,14,11,48,11,95,8,12,9,27,32,4,23,28,6,6,5,12,26,4,11,94,7,105,28,2,4,4,9,34,3,1,14,11,5,8,2,5,23,3,8,21,13,9,9,9,4,6,16,22,4,2,6,5,4,3,16,3,6,5,6,5,5,4,1,2,3,6,,
2020-04-22,365,1962,1924,47,199,127,17,345,14,33,26,123,550,60,29,128,,46,194,22,47,38,50,37,13,34,83,14,13,48,11,100,8,11,9,28,33,4,23,28,6,8,5,10,26,4,11,95,7,117,28,2,4,4,11,35,5,1,18,162,5,8,2,5,27,3,9,23,14,11,10,10,4,6,16,24,4,2,7,5,4,10,16,3,6,6,6,5,5,9,1,3,4,6,,
2020-04-23,369,2144,1953,47,203,129,16,352,13,34,28,126,556,61,30,130,,46,196,23,48,38,56,38,14,35,87,14,14,48,12,101,8,11,10,28,32,4,24,28,6,8,5,10,27,4,11,96,7,130,28,2,4,5,10,35,5,1,18,351,6,8,2,5,27,3,9,25,14,11,10,12,4,6,16,22,4,2,7,5,4,16,16,3,6,7,7,5,4,20,1,3,4,6,,
2020-04-24,377,2176,2001,47,207,133,17,364,13,35,32,125,573,67,30,132,,46,197,24,49,40,63,41,14,36,88,14,14,48,12,101,8,11,10,29,34,4,25,28,7,8,5,12,28,4,11,98,7,138,28,2,4,5,10,35,5,1,19,585,7,9,2,5,29,3,10,27,15,11,11,12,4,6,16,22,5,2,7,5,4,20,17,3,7,7,6,5,4,46,1,3,4,6,,
2020-04-25,381,2213,2086,48,210,140,17,387,13,42,36,127,584,67,31,134,,49,199,24,53,41,64,41,14,38,91,16,14,51,12,106,8,11,10,29,35,4,25,28,10,8,5,12,28,5,12,99,7,150,29,2,4,6,10,37,5,1,19,586,10,11,2,6,47,3,16,31,17,11,11,12,4,6,16,22,5,2,9,5,4,40,17,4,7,7,6,5,4,48,2,3,4,7,,
2020-04-26,397,2370,2296,47,210,141,18,405,14,45,36,136,593,67,31,136,,52,233,25,53,43,66,41,15,40,94,16,14,52,13,109,8,11,10,29,38,4,27,28,14,8,5,13,28,5,12,101,7,159,29,2,4,6,10,38,6,1,19,588,12,11,2,6,48,3,19,32,18,11,11,12,4,6,16,22,5,2,9,5,4,41,18,5,7,7,7,6,4,48,2,3,4,7,,
2020-04-27,399,2488,2327,47,214,146,18,423,14,46,39,138,603,68,32,138,,54,246,24,54,45,70,41,16,41,95,16,14,52,15,114,8,11,10,29,41,4,27,28,65,8,5,14,28,5,12,104,8,165,29,2,4,6,11,39,6,1,19,588,12,11,3,6,48,3,18,33,19,11,11,12,4,6,17,22,7,2,10,5,6,42,17,5,7,7,7,6,4,49,2,3,4,6,,
2020-04-28,399,2588,2376,47,214,149,18,434,14,46,42,139,608,70,33,139,,54,249,24,55,46,71,42,17,40,96,18,16,53,14,115,8,11,10,32,41,4,28,28,70,8,5,14,28,5,12,128,8,167,30,2,5,6,11,39,6,1,20,589,12,11,3,6,50,3,18,33,19,11,11,12,4,6,17,22,7,4,10,5,5,43,17,5,7,8,7,6,4,50,2,3,4,7,,
2020-04-29,408,2618,2432,48,221,152,18,448,14,48,42,139,619,74,34,141,,54,250,27,55,48,72,43,17,42,98,18,16,53,16,119,8,11,10,34,44,5,32,28,89,8,5,14,28,5,13,131,8,169,30,2,6,6,11,39,8,1,20,592,12,11,3,6,122,3,21,35,19,11,11,12,4,7,17,22,7,4,10,5,5,43,19,5,7,7,7,6,4,53,2,3,4,7,,
2020-04-30,411,2669,2507,49,228,156,19,474,15,49,46,148,623,74,34,146,,54,253,28,56,49,72,44,18,42,98,18,16,56,20,121,8,11,10,36,43,5,33,29,92,9,5,15,28,5,13,135,8,173,30,2,7,6,12,40,8,1,21,594,12,14,3,6,123,3,23,36,20,13,11,13,4,8,17,22,7,4,10,5,5,44,21,5,7,8,7,7,4,55,2,3,5,7,,
2020-05-01,416,2832,2599,49,233,160,20,502,16,49,48,157,632,74,36,146,,55,259,28,58,52,74,44,18,44,98,18,16,59,21,122,8,11,10,36,45,5,32,29,94,12,5,17,28,5,14,136,8,184,30,2,7,5,12,41,9,2,22,595,13,16,3,6,1020,3,23,36,23,13,11,14,4,8,17,23,8,4,11,5,6,44,21,5,7,8,7,7,4,55,2,3,5,7,,
2020-05-02,419,2875,2672,49,236,168,22,547,16,49,48,168,640,74,36,148,,57,268,28,63,52,77,43,18,44,99,18,16,59,22,136,8,11,10,36,48,5,37,29,97,12,5,18,28,5,14,138,9,193,30,2,7,6,12,44,9,2,22,596,14,17,3,6,1344,3,23,38,23,13,11,15,4,8,17,23,8,4,11,5,6,44,21,5,7,11,7,9,4,55,2,3,5,7,,
2020-05-03,427,3026,2815,51,243,172,24,579,16,51,53,179,653,80,36,148,,57,273,28,63,53,80,43,19,44,146,18,16,63,21,136,8,11,10,36,50,5,37,29,100,12,5,21,28,7,14,140,9,200,30,2,14,6,12,50,9,2,22,598,14,19,3,6,1346,3,23,41,25,13,11,15,4,8,17,23,8,4,11,5,6,45,24,5,7,11,7,9,4,57,2,3,5,7,,
2020-05-04,431,3191,2878,57,249,180,28,603,17,58,56,184,663,84,39,149,,57,276,30,70,56,82,43,22,49,148,23,19,68,29,139,8,12,10,36,53,5,39,29,103,12,5,25,28,7,16,142,9,200,31,2,15,6,12,53,10,2,24,598,14,20,5,6,1348,3,24,44,27,13,11,17,5,8,17,24,8,4,11,5,7,45,25,5,7,12,8,9,4,58,2,3,5,9,,
2020-05-05,439,3322,2922,59,251,184,27,620,17,60,57,185,665,84,40,151,,58,281,29,73,59,84,43,23,49,149,22,19,69,32,160,8,12,10,36,53,6,39,29,106,12,6,25,28,7,16,140,10,201,31,2,15,6,12,53,10,2,23,601,16,20,5,6,1352,3,25,45,27,13,11,16,5,8,17,24,8,4,11,5,7,47,25,5,7,12,7,10,4,58,2,3,6,9,,
2020-05-06,436,3346,3010,52,252,196,26,655,16,60,58,186,671,85,38,153,,59,287,29,69,61,84,43,19,51,155,18,16,73,26,162,8,11,10,36,50,6,39,29,107,13,6,25,28,7,16,144,10,212,31,2,15,7,12,54,11,2,23,601,16,22,7,6,1355,3,24,45,26,13,11,15,5,9,17,23,10,4,11,6,6,47,25,7,7,12,7,10,4,59,2,3,6,7,,
2020-05-07,434,3432,3066,52,253,211,26,661,16,63,58,195,672,84,39,155,147,59,288,31,69,64,85,43,20,52,158,19,17,73,26,162,8,11,10,37,52,6,38,29,108,13,7,25,30,7,16,145,11,217,31,2,16,7,13,55,17,2,23,602,18,23,5,6,1356,3,24,47,26,14,11,15,5,9,19,24,10,4,11,6,6,48,25,7,8,12,7,10,4,59,2,3,6,7,,
2020-05-08,441,3460,3113,54,255,229,26,685,16,65,59,207,683,84,41,161,71,60,290,31,69,68,85,43,21,52,158,19,17,75,29,166,8,11,12,38,52,6,39,29,113,13,7,26,30,7,16,148,11,222,31,2,16,7,13,57,18,2,24,604,18,64,5,6,1355,3,24,48,26,14,11,16,5,9,19,24,10,4,11,6,6,48,25,6,8,12,7,10,4,59,2,3,6,7,,
2020-05-09,441,3586,3189,54,262,232,26,720,16,65,61,219,693,85,41,172,75,61,297,31,71,69,85,44,21,55,158,19,17,77,30,166,8,11,12,40,53,6,39,29,116,13,7,27,30,7,16,150,11,231,31,2,16,7,13,58,22,2,24,604,18,116,5,10,1357,3,24,52,26,15,11,16,6,9,20,24,12,4,11,6,6,49,26,6,8,12,7,10,4,59,2,3,6,9,,
2020-05-10,443,3652,3260,54,263,233,26,725,17,65,63,218,698,85,41,174,230,61,300,31,71,69,86,46,21,55,159,19,17,79,29,175,8,11,12,40,54,6,41,29,117,13,7,27,30,8,16,151,11,237,31,2,16,7,13,58,22,3,24,604,18,151,5,12,1357,3,24,53,26,15,11,16,6,9,20,24,12,4,12,6,6,52,26,6,10,12,7,10,4,59,2,3,6,9,1,
2020-05-11,445,3699,3372,54,280,240,26,745,17,65,66,220,699,84,43,180,78,65,302,33,72,72,86,46,21,55,373,21,18,80,31,178,8,11,12,41,56,6,43,29,122,13,7,28,30,8,16,156,14,238,31,2,16,6,13,59,22,3,24,604,18,171,5,12,1363,3,24,54,26,15,11,16,6,9,21,24,12,3,12,6,6,52,36,6,10,12,7,10,4,61,2,3,6,12,1,
2020-05-12,447,3785,3429,54,286,258,26,764,17,65,76,244,708,86,43,188,80,65,306,34,73,74,88,46,23,57,395,22,19,82,33,180,8,11,12,41,57,6,44,29,122,13,7,28,30,8,16,157,14,239,32,2,17,6,13,69,22,3,24,604,18,170,11,12,1364,3,24,54,28,15,11,16,6,9,21,24,13,3,12,6,6,52,40,6,10,12,7,10,4,99,2,3,6,12,1,
2020-05-13,453,3879,3475,54,295,286,26,780,17,65,78,245,714,87,44,191,81,64,309,35,74,75,88,47,25,58,400,22,19,85,33,190,8,11,12,41,57,6,46,29,123,13,7,28,30,8,16,156,14,246,31,2,17,6,13,71,22,3,24,603,18,177,15,12,1381,4,24,56,28,15,12,16,6,9,21,24,13,3,12,6,6,52,40,7,10,12,7,10,4,300,2,3,6,12,1,
2020-05-14,456,3889,3542,56,297,319,26,796,17,65,85,250,720,87,44,199,85,66,312,35,75,80,88,46,25,60,402,23,20,86,37,204,8,11,12,41,57,6,46,30,123,13,7,28,30,9,16,157,14,248,32,2,17,6,13,74,22,3,24,603,19,179,15,12,1382,4,24,57,29,16,12,17,6,9,21,25,14,3,12,6,6,52,43,10,10,12,7,11,5,401,2,3,6,13,1,
2020-05-15,462,4008,3595,57,302,332,26,814,17,66,88,263,724,88,44,203,85,66,316,36,75,81,90,46,24,60,402,24,20,88,38,206,8,11,12,43,57,6,48,30,123,13,7,28,30,9,16,160,14,248,32,2,17,6,13,75,22,3,24,605,19,180,15,12,1382,4,24,60,29,17,12,17,6,9,21,25,14,61,12,6,6,52,43,10,10,12,7,11,5,401,3,3,7,13,1,
2020-05-16,471,4049,3681,57,309,354,26,847,17,68,88,274,737,88,44,204,86,66,318,36,75,81,91,46,24,61,403,25,20,88,41,232,8,11,12,43,58,6,48,31,123,13,7,29,30,9,16,162,14,251,31,2,18,6,13,81,22,3,24,607,19,183,15,12,1382,4,24,60,29,17,12,17,6,9,21,26,15,63,12,6,6,52,44,10,11,12,7,12,5,401,3,3,7,13,1,
2020-05-17,471,4132,3726,57,311,368,26,847,17,68,88,274,739,89,44,206,104,66,318,36,75,82,92,46,25,63,403,25,20,90,41,235,8,11,12,43,58,6,48,32,123,13,7,29,30,9,16,163,14,252,31,2,18,6,13,81,22,3,24,607,19,182,15,12,1383,4,24,60,29,17,12,19,6,10,21,26,15,63,12,6,6,52,44,10,11,13,7,12,5,404,3,3,7,13,1,
2020-05-18,480,4160,3846,57,315,376,26,884,17,69,92,294,749,93,44,213,106,66,327,37,76,83,93,46,25,68,405,25,20,94,49,240,9,12,12,43,59,6,94,33,123,13,8,30,30,10,16,163,16,254,31,2,19,7,13,90,22,3,25,607,19,183,15,12,1383,4,26,61,29,19,12,19,6,12,21,27,16,63,12,6,6,52,44,10,11,14,7,12,5,404,4,3,10,13,2,
2020-05-19,492,4390,3936,57,320,404,26,906,17,68,93,298,768,94,45,216,109,70,338,37,76,84,93,46,24,71,407,25,20,95,51,286,9,11,12,43,59,7,97,34,125,13,8,32,31,10,17,162,18,257,31,2,21,7,13,93,22,3,29,607,19,183,15,17,1384,4,27,63,29,20,12,19,9,12,21,26,16,63,12,6,6,52,48,9,13,14,8,12,5,403,4,3,15,14,2,1
2020-05-20,492,4504,4005,57,327,447,26,906,17,68,93,298,768,94,45,216,109,70,338,37,76,84,93,46,24,71,407,25,20,95,51,286,9,11,12,43,59,7,97,34,125,13,8,32,31,10,17,162,18,257,31,2,21,7,13,93,22,3,29,607,19,183,15,17,1384,4,27,63,29,20,12,19,9,12,21,26,16,63,12,6,6,52,48,9,13,14,8,12,5,403,4,3,15,14,2,1
